name,count
the,4495
to,4207
of,3715
and,3602
her,2215
i,2051
a,1997
in,1919
was,1844
she,1704
that,1582
it,1535
not,1445
you,1417
he,1333
his,1267
be,1257
as,1189
had,1174
with,1098
for,1071
but,977
is,883
have,846
at,801
mr,783
him,761
on,726
my,717
by,657
all,637
they,604
elizabeth,593
so,585
were,565
which,542
could,525
been,515
from,505
no,493
this,493
very,486
what,474
would,469
your,465
their,441
me,439
them,434
will,418
said,401
such,393
or,373
when,372
darcy,371
do,364
if,364
are,359
an,357
there,347
mrs,343
much,328
more,326
must,318
am,316
any,306
bennet,293
who,286
than,284
miss,283
did,270
one,266
jane,263
we,260
bingley,257
should,250
know,239
how,231
before,229
herself,224
has,223
other,222
can,221
though,221
never,220
only,217
soon,216
well,212
think,211
some,209
now,209
may,207
might,200
time,200
after,199
every,198
most,190
little,189
lady,183
own,183
good,182
without,178
sister,178
again,177
nothing,176
being,175
then,172
make,170
shall,164
wickham,161
say,158
dear,157
collins,156
see,152
family,152
first,145
man,142
into,142
too,141
great,141
however,135
two,135
out,134
lydia,131
young,130
ever,130
day,129
about,128
give,127
us,127
made,126
himself,125
up,123
hope,122
last,120
many,120
away,119
always,118
letter,116
father,116
long,115
cannot,115
sisters,114
room,112
thought,111
its,110
catherine,110
way,109
mother,108
house,105
enough,104
replied,103
sure,102
friend,102
saw,102
go,101
felt,100
wish,98
quite,96
having,96
manner,95
myself,93
lizzy,93
come,93
better,92
oh,92
till,92
indeed,92
cried,91
where,91
love,91
pleasure,91
came,90
often,90
over,89
done,89
really,88
longbourn,88
project,88
believe,87
heard,86
feelings,86
does,86
whom,85
subject,85
gardiner,84
even,84
happy,81
anything,81
take,80
whole,79
our,78
upon,78
aunt,78
like,77
daughter,77
sir,77
less,77
morning,77
while,76
perhaps,76
let,75
seen,75
ladies,74
therefore,73
netherfield,73
looked,73
yet,73
down,73
happiness,72
place,72
still,72
just,72
few,72
these,72
evening,72
both,72
hear,72
added,71
nor,71
tell,71
certainly,70
same,70
next,70
something,70
found,69
kitty,69
here,68
present,68
told,68
opinion,68
attention,68
charlotte,67
towards,67
seemed,66
went,66
marriage,66
received,66
speak,66
world,66
colonel,65
lucas,65
left,65
least,65
home,65
work,65
answer,64
each,64
moment,64
part,64
yes,63
town,63
together,63
kind,62
between,62
off,62
brother,61
almost,61
because,61
character,61
passed,61
friends,61
married,61
chapter,61
gone,61
coming,60
either,60
conversation,60
immediately,60
seeing,60
leave,60
those,60
since,59
means,59
whose,59
uncle,59
began,59
knew,58
find,58
another,58
far,58
affection,58
going,57
known,57
daughters,57
meryton,57
party,57
three,57
once,57
mind,56
gutenberg-tm,56
look,56
life,56
given,56
rather,55
behaviour,55
woman,55
possible,55
general,54
bingleys,54
others,54
gave,54
able,54
london,54
certain,54
pemberley,53
visit,53
took,53
person,53
whether,53
side,53
against,53
return,52
eyes,52
get,52
why,52
reason,51
walk,51
continued,51
acquaintance,51
pride,50
regard,49
rosings,49
word,49
idea,49
people,49
yourself,49
object,48
suppose,48
perfectly,47
settled,47
course,47
ill,47
half,46
hardly,46
business,46
girls,45
point,45
scarcely,45
ought,45
heart,45
returned,45
through,44
want,44
everything,44
wife,44
darcys,44
right,44
help,44
walked,44
longer,44
carriage,44
agreeable,43
short,43
turned,43
impossible,43
else,43
read,43
spoke,43
terms,43
manners,43
thing,42
civility,42
marry,42
husband,42
expected,42
honour,42
power,42
country,42
called,41
back,41
best,41
cousin,41
asked,40
met,40
convinced,40
william,40
dare,40
assure,39
hertfordshire,39
de,39
spirits,39
write,39
feel,39
talking,39
fortune,39
under,39
rest,39
bennets,39
wished,38
likely,38
talked,38
elizabeths,38
pleased,38
set,38
days,38
former,38
situation,38
sat,38
lydias,38
neither,38
feeling,38
mary,38
within,38
account,38
sort,38
forster,38
occasion,37
engaged,37
near,37
doubt,37
glad,37
handsome,37
girl,37
afraid,37
poor,37
minutes,37
brought,37
different,37
stay,37
believed,37
beyond,36
also,36
surprise,36
years,36
entered,36
gentlemen,35
care,35
amiable,35
expect,35
information,35
sense,35
everybody,35
sometimes,35
making,35
mean,34
bourgh,34
wonder,34
answered,34
themselves,34
sorry,34
surprised,34
advantage,34
whatever,34
silence,34
thousand,34
invitation,34
deal,34
saying,34
night,34
wishes,34
usual,34
consider,33
appearance,33
four,33
merely,33
name,33
ten,33
particularly,33
ball,33
society,33
satisfied,33
dinner,33
men,32
determined,32
sensible,32
hurst,32
door,32
head,32
afterwards,32
meet,32
length,32
talk,32
dance,32
works,32
wickhams,32
full,32
fitzwilliam,32
speaking,32
gentleman,31
case,31
appear,31
appeared,31
receive,31
end,31
understand,31
put,31
comfort,31
taken,31
real,31
necessary,31
fine,31
allow,31
instantly,31
alone,31
five,30
particular,30
younger,30
opportunity,30
things,30
arrival,30
gutenberg,30
ladyship,30
consequence,30
respect,30
exactly,30
astonishment,30
words,30
ask,30
countenance,30
equal,30
air,30
resolved,30
officers,30
lost,29
looking,29
hours,29
money,29
anyone,29
mention,29
already,29
neighbourhood,29
news,29
smile,29
kindness,29
week,29
obliged,29
keep,28
year,28
offer,28
call,28
joined,28
meant,28
assured,28
janes,28
credit,28
early,28
highly,28
matter,28
mentioned,28
thus,28
truth,27
knowing,27
phillips,27
table,27
absence,27
attachment,27
electronic,27
imagine,27
forward,27
easily,27
satisfaction,27
observed,27
face,27
pain,27
during,27
circumstances,27
compliment,26
use,26
beauty,26
interest,26
walking,26
following,26
pray,26
true,26
new,26
turn,26
expressed,26
anxious,26
silent,26
foundation,26
supposed,26
ago,26
attentions,26
exceedingly,26
wholly,26
allowed,26
liked,26
reply,26
second,26
concern,25
except,25
thoughts,25
express,25
easy,25
persuaded,25
children,25
giving,25
disposition,25
among,25
send,25
followed,25
change,25
entirely,25
admiration,25
mothers,25
got,25
small,25
doing,25
bear,25
delight,25
pretty,24
temper,24
greater,24
pounds,24
paid,24
state,24
several,24
relations,24
serious,24
hand,24
living,24
probably,24
hearing,24
hunsford,24
wanted,24
collinss,24
happened,24
match,24
brighton,24
master,24
library,24
derbyshire,24
attended,24
notice,24
prevented,23
depend,23
considered,23
remained,23
e,23
anybody,23
importance,23
frequently,23
curiosity,23
dislike,23
hopes,23
acquainted,23
sake,23
degree,23
gratitude,23
inquiries,23
spite,23
whenever,23
directly,23
delighted,23
especially,23
conduct,23
large,23
used,23
nature,23
fear,23
unless,23
natural,22
voice,22
spent,22
proud,22
expression,22
meeting,22
company,22
seems,22
latter,22
inclination,22
favour,22
further,22
pleasing,22
remember,22
praise,22
park,22
hour,22
event,22
desire,22
written,22
fair,22
fixed,22
months,22
thinking,21
instead,21
above,21
wrote,21
journey,21
dancing,21
sent,21
intended,21
agreement,21
fortnight,21
pleasant,21
endeavour,21
repeated,21
trouble,21
eliza,21
attempt,21
receiving,21
marrying,21
breakfast,21
promised,21
public,21
humour,21
listened,21
madam,21
live,21
cause,21
design,21
nephew,20
understanding,20
hoped,20
particulars,20
times,20
charming,20
proper,20
favourite,20
choose,20
purpose,20
connection,20
knowledge,20
acknowledged,20
greatest,20
sitting,20
address,20
vain,20
mistaken,20
forced,20
eldest,20
question,20
need,20
estate,20
ready,20
equally,20
niece,20
engagement,20
resolution,19
anxiety,19
none,19
common,19
late,19
gardiners,19
removed,19
regret,19
delightful,19
affected,19
danger,19
comprehend,19
women,19
drew,19
cousins,19
circumstance,19
strong,19
summer,19
join,19
thank,19
regiment,19
fathers,19
yours,19
fancy,19
reached,18
persuade,18
vanity,18
excellent,18
civil,18
light,18
avoid,18
son,18
maria,18
expectation,18
admire,18
pause,18
chance,18
concerned,18
smiled,18
scheme,18
evident,18
slight,18
intelligence,18
health,18
play,18
leaving,18
cold,18
accept,18
weeks,18
led,18
affair,18
capable,18
street,18
future,18
accepted,18
effect,18
stairs,18
taking,18
superior,18
prevent,17
high,17
indifference,17
affectionate,17
resentment,17
disappointment,17
beg,17
report,17
charlottes,17
kept,17
laugh,17
perfect,17
connections,17
round,17
view,17
absolutely,17
promise,17
drawing-room,17
please,17
proved,17
bring,17
saturday,17
united,17
ease,17
open,17
partner,17
sight,17
dearest,17
politeness,17
angry,17
forget,17
moments,17
likewise,17
felicity,17
motive,17
form,17
loss,17
success,17
addressed,17
wait,17
related,16
pardon,16
formed,16
pass,16
distance,16
composure,16
scene,16
book,16
readily,16
tone,16
parsonage,16
distress,16
tolerable,16
confess,16
dine,16
spoken,16
blame,16
ashamed,16
companion,16
seem,16
excuse,16
f,16
tried,16
chief,16
suddenly,16
extraordinary,16
fond,16
nobody,16
letters,16
became,16
opened,16
conviction,16
miles,16
step,16
comes,16
generally,16
chose,16
ignorant,16
catherines,16
declared,15
fortunate,15
wrong,15
otherwise,15
share,15
indifferent,15
says,15
writing,15
calling,15
brothers,15
assurance,15
marked,15
disposed,15
agree,15
extremely,15
objection,15
advice,15
housekeeper,15
lively,15
age,15
reading,15
intention,15
eye,15
to-morrow,15
donations,15
reasonable,15
old,15
belief,15
